date,key_change,taux,x_vers_euro
2022-10-04,JPY,143.3,0.006978367062107466
2022-10-03,USD,0.9764,1.0241704219582137
2022-10-03,JPY,141.49,0.007067637288854335
2022-09-30,USD,0.9748,1.0258514567090686
2022-09-30,JPY,141.01,0.0070916956244238
2022-09-29,USD,0.9706,1.030290541932825
2022-09-29,JPY,140.46,0.007119464616260856
2022-09-28,USD,0.9565,1.0454783063251438
2022-09-28,JPY,138.39,0.007225955632632416
2022-09-27,USD,0.9644,1.0369141435089175
2022-09-27,JPY,139.28,0.007179781734635267
2022-09-26,USD,0.9646,1.036699149906697
2022-09-26,JPY,139.07,0.0071906234270511255
2022-09-23,USD,0.9754,1.025220422390814
2022-09-23,JPY,139.43,0.007172057663343613
2022-09-22,USD,0.9884,1.011736139214893
2022-09-22,JPY,139.18,0.00718494036499497
2022-09-21,USD,0.9906,1.0094891984655763
2022-09-21,JPY,142.66,0.007009673349221927
2022-09-20,USD,0.9986,1.001401962747847
2022-09-20,JPY,143.34,0.0069764197014092364
2022-09-19,USD,0.999,1.001001001001001
2022-09-19,JPY,143.42,0.006972528238739367
2022-09-16,USD,0.9954,1.004621257785815
2022-09-16,JPY,142.53,0.007016066792955869
2022-09-15,USD,0.9992,1.00080064051241
2022-09-15,JPY,143.43,0.006972042111134351
2022-09-14,USD,0.999,1.001001001001001
2022-09-14,JPY,143.08,0.0069890970086664795
2022-09-13,USD,1.0175,0.9828009828009827
2022-09-13,JPY,144.5,0.006920415224913495
2022-09-12,USD,1.0155,0.9847365829640571
2022-09-12,JPY,144.49,0.006920894179527994
2022-09-09,USD,1.0049,0.9951238929246692
2022-09-09,JPY,143.3,0.006978367062107466
2022-09-08,USD,1.0009,0.9991008092716556
2022-09-08,JPY,143.65,0.006961364427427776
2022-09-07,USD,0.9885,1.0116337885685383
2022-09-07,JPY,143.2,0.006983240223463688
2022-09-06,USD,0.9928,1.0072522159548751
2022-09-06,JPY,140.91,0.007096728408203818
2022-09-05,USD,0.992,1.0080645161290323
2022-09-05,JPY,139.47,0.0071700007170000715
2022-09-02,USD,0.9993,1.0007004903432404
2022-09-02,JPY,140.36,0.0071245369051011675
2022-09-01,USD,1.0004,0.9996001599360256
2022-09-01,JPY,139.34,0.0071766901105210276
2022-08-31,USD,1.0,1.0
2022-08-31,JPY,138.72,0.00720876585928489
2022-08-30,USD,1.0034,0.9966115208291807
2022-08-30,JPY,138.71,0.007209285559801023
2022-08-29,USD,0.9986,1.001401962747847
2022-08-29,JPY,138.49,0.007220737959419452
2022-08-26,USD,1.0007,0.99930048965724
2022-08-26,JPY,137.02,0.007298204641658152
2022-08-25,USD,0.997,1.0030090270812437
2022-08-25,JPY,136.07,0.0073491585213493055
2022-08-24,USD,0.9934,1.00664384940608
2022-08-24,JPY,135.74,0.007367025195226167
2022-08-23,USD,0.9927,1.0073536818777071
2022-08-23,JPY,136.34,0.0073346046648085665
2022-08-22,USD,1.0001,0.9999000099990001
2022-08-22,JPY,137.08,0.007295010213014297
2022-08-19,USD,1.0054,0.9946290033817385
2022-08-19,JPY,137.67,0.00726374664051718
2022-08-18,USD,1.0178,0.982511298879937
2022-08-18,JPY,137.17,0.007290223809870964
2022-08-17,USD,1.0164,0.9838646202282566
2022-08-17,JPY,137.36,0.00728013977868375
2022-08-16,USD,1.0131,0.9870693909781859
2022-08-16,JPY,136.11,0.007346998751010212
2022-08-15,USD,1.0195,0.9808729769494849
2022-08-15,JPY,135.61,0.007374087456677236
2022-08-12,USD,1.0285,0.9722897423432183
2022-08-12,JPY,137.47,0.007274314395868189
2022-08-11,USD,1.0338,0.967305088024763
2022-08-11,JPY,136.57,0.007322252324815114
2022-08-10,USD,1.0252,0.9754194303550527
2022-08-10,JPY,138.16,0.007237984944991315
2022-08-09,USD,1.0234,0.9771350400625366
2022-08-09,JPY,138.26,0.007232749891508752
2022-08-08,USD,1.0199,0.9804882831650161
2022-08-08,JPY,137.62,0.007266385699752942
2022-08-05,USD,1.0233,0.9772305286817159
2022-08-05,JPY,136.22,0.007341065922771986
2022-08-04,USD,1.0181,0.9822217856792064
2022-08-04,JPY,135.81,0.007363228039172373
2022-08-03,USD,1.0194,0.9809691975671964
2022-08-03,JPY,136.18,0.00734322220590395
2022-08-02,USD,1.0224,0.9780907668231612
2022-08-02,JPY,133.9,0.0074682598954443615
2022-08-01,USD,1.0233,0.9772305286817159
2022-08-01,JPY,135.38,0.007386615452799528
2022-07-29,USD,1.0198,0.9805844283192783
2022-07-29,JPY,136.42,0.007330303474563847
2022-07-28,USD,1.0122,0.9879470460383324
2022-07-28,JPY,137.26,0.007285443683520327
2022-07-27,USD,1.0152,0.9850275807722615
2022-07-27,JPY,138.89,0.007199942400460797
2022-07-26,USD,1.0124,0.9877518767285658
2022-07-26,JPY,138.35,0.0072280448138778465
2022-07-25,USD,1.0236,0.9769441187964047
2022-07-25,JPY,139.84,0.007151029748283752
2022-07-22,USD,1.019,0.9813542688910698
2022-07-22,JPY,139.51,0.007167944950182783
2022-07-21,USD,1.0199,0.9804882831650161
2022-07-21,JPY,141.46,0.0070691361515622785
2022-07-20,USD,1.0199,0.9804882831650161
2022-07-20,JPY,140.92,0.00709622480840193
2022-07-19,USD,1.0245,0.9760858955588092
2022-07-19,JPY,141.01,0.0070916956244238
2022-07-18,USD,1.0131,0.9870693909781859
2022-07-18,JPY,140.16,0.0071347031963470324
2022-07-15,USD,1.0059,0.9941346058256287
2022-07-15,JPY,139.49,0.007168972686214065
2022-07-14,USD,1.0005,0.9995002498750625
2022-07-14,JPY,139.04,0.007192174913693902
2022-07-13,USD,1.0067,0.9933445912387008
2022-07-13,JPY,138.02,0.007245326764237067
2022-07-12,USD,1.0042,0.9958175662218681
2022-07-12,JPY,137.31,0.00728279076542131
2022-07-11,USD,1.0098,0.9902951079421667
2022-07-11,JPY,138.77,0.007206168480219067
2022-07-08,USD,1.0163,0.9839614287119945
2022-07-08,JPY,138.05,0.007243752263672582
2022-07-07,USD,1.018,0.9823182711198428
2022-07-07,JPY,138.11,0.0072406053146043
2022-07-06,USD,1.0177,0.9826078412105728
2022-07-06,JPY,137.71,0.007261636772928618
2022-07-05,USD,1.029,0.9718172983479106
2022-07-05,JPY,139.77,0.007154611146884166
2022-07-04,USD,1.0455,0.9564801530368244
2022-07-04,JPY,141.51,0.007066638400113067
2022-07-01,USD,1.0425,0.9592326139088729
2022-07-01,JPY,141.05,0.007089684509039347
2022-06-30,USD,1.0387,0.962741888899586
2022-06-30,JPY,141.54,0.007065140596297867
2022-06-29,USD,1.0517,0.9508414947228296
2022-06-29,JPY,143.53,0.006967184560719013
2022-06-28,USD,1.0561,0.9468800303001609
